url	kind	size	rel_path	doc_url	status
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250120589906867182.pdf	file	16323618	zwgk/gsgg/202501/96801_平潭综合实验区关于福建海峡金芝堂药业有限公司中药饮片加工项目环境影响评价报告表审/attachments/file/W020250120589906867182.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250120_96801.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250122587976165492.pdf	file	21281460	zwgk/gsgg/202501/96864_平潭综合实验区自然资源与生态环境局关于平潭综合实验区苏平片区丰田村级组织活动场所/attachments/file/W020250122587976165492.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250122_96864.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250123609606873676.xls	file	30208	zwgk/gsgg/202501/96896_公告/attachments/file/W020250123609606873676.xls	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250123_96896.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250124406747049574.pdf	file	4545770	zwgk/gsgg/202501/96936_平潭综合实验区自然资源与生态环境局关于招康村研学基地项目总平面图批前公示/attachments/file/W020250124406747049574.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250124_96936.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202501/W020250126554854026838.pdf	file	399415	zwgk/gsgg/202501/96999_君山镇山边村海防路基础设施项目（中标通知书）/attachments/file/W020250126554854026838.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202501/t20250126_96999.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250208541646074765.pdf	file	937680	zwgk/gsgg/202502/97140_君山镇松南村山体水土流失整治及文化中心修缮项目/attachments/file/W020250208541646074765.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250208_97140.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250208541646090601.docx	file	17262	zwgk/gsgg/202502/97140_君山镇松南村山体水土流失整治及文化中心修缮项目/attachments/file/W020250208541646090601.docx	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250208_97140.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250208541646091211.pdf	file	21134137	zwgk/gsgg/202502/97140_君山镇松南村山体水土流失整治及文化中心修缮项目/attachments/file/W020250208541646091211.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250208_97140.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250208541646092999.pdf	file	470614	zwgk/gsgg/202502/97140_君山镇松南村山体水土流失整治及文化中心修缮项目/attachments/file/W020250208541646092999.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250208_97140.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250213431249325992.pdf	file	9723548	zwgk/gsgg/202502/97230_平潭综合实验区自然资源与生态环境局关于平潭佳兴智慧农渔产品交易中心项目总平面图批/attachments/file/W020250213431249325992.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250213_97230.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250218386702984959.pdf	file	56553	zwgk/gsgg/202502/97302_平潭综合实验区自然资源与生态环境局关于开展2025年度耕地恢复工作市场调研的公告/attachments/file/W020250218386702984959.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250218_97302.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250218552896673163.pdf	file	18531215	zwgk/gsgg/202502/97312_起帆平潭海缆基地项目建设工程规划许可证变更公示/attachments/file/W020250218552896673163.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250218_97312.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250220524347414308.pdf	file	245559	zwgk/gsgg/202502/97347_君山镇松南村山体水土流失整治及文化中心修缮项目(中标通知书)/attachments/file/W020250220524347414308.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250220_97347.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250221525696952661.pdf	file	49726	zwgk/gsgg/202502/97368_关于限期拆除清理大沙屿违法建设项目的通告/attachments/file/W020250221525696952661.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250221_97368.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250221565129198775.pdf	file	3328285	zwgk/gsgg/202502/97374_起帆平潭海缆基地项目堆场建设工程规划许可变更批前公示/attachments/file/W020250221565129198775.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250221_97374.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250224346278778029.pdf	file	13799134	zwgk/gsgg/202502/97382_平潭综合实验区行政审批局关于受理象鼻湾提升改造项目环境影响报告表的公示/attachments/file/W020250224346278778029.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250224_97382.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250226363310539430.xlsx	file	28160	zwgk/gsgg/202502/97429_公示/attachments/file/W020250226363310539430.xlsx	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250226_97429.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250226558468838648.pdf	file	9721220	zwgk/gsgg/202502/97438_关于集成电路封装厂项目建设工程规划许可/attachments/file/W020250226558468838648.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250226_97438.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250227374893563640.docx	file	15831	zwgk/gsgg/202502/97462_君山镇北港村景村人居环境整治提升项目/attachments/file/W020250227374893563640.docx	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250227_97462.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250227374893579840.pdf	file	1036797	zwgk/gsgg/202502/97462_君山镇北港村景村人居环境整治提升项目/attachments/file/W020250227374893579840.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250227_97462.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250227377545468866.doc	file	442880	zwgk/gsgg/202502/97452_影视城北侧闲置地块招租公告/attachments/file/W020250227377545468866.doc	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250227_97452.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250227378905841823.doc	file	388096	zwgk/gsgg/202502/97453_竹屿码头粮食仓库边闲置地块招租公告/attachments/file/W020250227378905841823.doc	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250227_97453.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250228412879100835.doc	file	8368640	zwgk/gsgg/202502/97509_平潭综合实验区金井片区管理局关于 《平潭综合实验区金井片区江尾村村庄规划（202/attachments/file/W020250228412879100835.doc	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250228_97509.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250228412879207298.doc	file	5124096	zwgk/gsgg/202502/97509_平潭综合实验区金井片区管理局关于 《平潭综合实验区金井片区江尾村村庄规划（202/attachments/file/W020250228412879207298.doc	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250228_97509.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202502/W020250228576257112332.pdf	file	36546368	zwgk/gsgg/202502/97523_关于平潭华宏农业禽蛋养殖加工项目总平面图批前公示/attachments/file/W020250228576257112332.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202502/t20250228_97523.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202503/W020250303626219342532.pdf	file	893512	zwgk/gsgg/202503/97555_君山镇北港村旅游文化产品研发推广建设工程项目/attachments/file/W020250303626219342532.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202503/t20250303_97555.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202503/W020250303626219347484.docx	file	15831	zwgk/gsgg/202503/97555_君山镇北港村旅游文化产品研发推广建设工程项目/attachments/file/W020250303626219347484.docx	https://www.pingtan.gov.cn/zwgk/gsgg/202503/t20250303_97555.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202503/W020250303628066695520.pdf	file	1289330	zwgk/gsgg/202503/97556_君山镇北港村美食乡宴和特色农产品摊位建设工程项目/attachments/file/W020250303628066695520.pdf	https://www.pingtan.gov.cn/zwgk/gsgg/202503/t20250303_97556.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202503/W020250303628066695635.docx	file	15831	zwgk/gsgg/202503/97556_君山镇北港村美食乡宴和特色农产品摊位建设工程项目/attachments/file/W020250303628066695635.docx	https://www.pingtan.gov.cn/zwgk/gsgg/202503/t20250303_97556.htm	done
https://www.pingtan.gov.cn/zwgk/gsgg/202503/W020250304598278591406.xlsx	file	15073	zwgk/gsgg/202503/97573_建设用地规划许可证公示/attachments/file/W020250304598278591406.xlsx	https://www.pingtan.gov.cn/zwgk/gsgg/202503/t20250304_97573.htm	done
